50
1|3|4|Credit Card|1/3/2025|45|3
2|1|2|Cash Transaction|1/5/2025|12|2
3|5|1|Debit Card|1/7/2025|16|1
4|2|3|Credit Card|1/12/2025|30|3
5|4|5|Debit Card|1/15/2025|8|4
6|3|2|Cash Transaction|1/20/2025|60|3
7|1|6|Debit Card|2/1/2025|12|6
8|4|4|Credit Card|2/7/2025|8|5
9|2|7|Debit Card|2/10/2025|10|7
10|5|3|Cash Transaction|2/15/2025|8|5
11|3|1|Credit Card|3/1/2025|20|5
12|1|5|Debit Card|3/3/2025|24|6
13|4|2|Credit Card|3/5/2025|16|1
14|5|6|Cash Transaction|3/10/2025|45|3
15|2|3|Debit Card|3/20/2025|20|4
16|1|1|Credit Card|4/1/2025|8|5
17|3|7|Cash Transaction|4/5/2025|30|3
18|4|2|Debit Card|4/10/2025|8|5
19|2|4|Credit Card|4/15/2025|16|1
20|5|3|Cash Transaction|4/20/2025|12|2
21|1|6|Debit Card|5/1/2025|12|6
22|3|1|Credit Card|5/3/2025|8|4
23|4|5|Cash Transaction|5/8/2025|15|2
24|2|2|Debit Card|5/15/2025|6|2
25|5|7|Credit Card|5/20/2025|8|5
26|1|3|Cash Transaction|6/1/2025|30|3
27|3|4|Debit Card|6/7/2025|12|6
28|4|2|Credit Card|6/10/2025|4|7
29|2|5|Cash Transaction|6/15/2025|12|6
30|5|1|Debit Card|6/20/2025|20|5
31|1|6|Credit Card|7/1/2025|8|4
32|3|3|Cash Transaction|7/5/2025|30|3
33|4|4|Debit Card|7/10/2025|12|6
34|2|7|Credit Card|7/15/2025|4|7
35|5|2|Cash Transaction|7/20/2025|16|1
36|1|5|Debit Card|7/25/2025|16|5
37|3|1|Credit Card|7/28/2025|15|3
38|4|3|Cash Transaction|7/30/2025|8|4
39|2|6|Debit Card|8/1/2025|2|7
40|5|7|Credit Card|8/3/2025|12|6
41|1|4|Cash Transaction|8/4/2025|8|5
42|3|5|Debit Card|8/5/2025|30|3
43|4|2|Credit Card|8/6/2025|12|6
44|2|1|Cash Transaction|8/6/2025|12|4
45|5|3|Debit Card|8/7/2025|20|5
46|1|7|Credit Card|8/7/2025|12|6
47|3|6|Cash Transaction|8/7/2025|30|3
48|4|4|Debit Card|8/7/2025|8|5
49|2|3|Credit Card|8/7/2025|15|3
50|5|2|Cash Transaction|8/7/2025|6|9
